"tr.tip.label","dates","tip_depth"
"48981_2011.71388888889",2011.71388888889,0.00812998
"49068_2012.2",2012.2,0.01273644
"48985_2011.76666666667",2011.76666666667,0.01388789
"49000_2011.81388888889",2011.81388888889,0.00806364
"49026_2012.04444444444",2012.04444444444,0.00926879
"49215_2011.92777777778",2011.92777777778,0.0115778
"48986_2011.775",2011.775,0.01042839
"49204_2011.91388888889",2011.91388888889,0.01157958
"49085_2012.24444444444",2012.24444444444,0.00696303
"49082_2012.24444444444",2012.24444444444,0.00695805
"49130_2012.41666666667",2012.41666666667,0.00331412
"49002_2011.82777777778",2011.82777777778,0.01158519
"49224_2011.95277777778",2011.95277777778,0.01158458
"49041_2012.11666666667",2012.11666666667,0.00465112
"49034_2012.08888888889",2012.08888888889,0.00814505
"49076_2012.23333333333",2012.23333333333,0.00812821
"49009_2011.90555555556",2011.90555555556,0.01043457
"49223_2011.95",2011.95,0.01043457
"49050_2012.15277777778",2012.15277777778,0.00813022
"49018_2011.99166666667",2011.99166666667,0.00582647
"49140_2012.63611111111",2012.63611111111,0.0047558
"49139_2012.55555555556",2012.55555555556,0.00475581
"49014_2011.95833333333",2011.95833333333,0.00813022
"49104_2012.30555555556",2012.30555555556,0.00350656
"49121_2012.36388888889",2012.36388888889,0.00813022
"49131_2012.43055555556",2012.43055555556,0.0069817
"49024_2012.03333333333",2012.03333333333,0.00813022
"49070_2012.21111111111",2012.21111111111,0.00813022
"49113_2012.33611111111",2012.33611111111,0.00813022
"49004_2011.85833333333",2011.85833333333,0.01043473
"49011_2011.93611111111",2011.93611111111,0.0104349
"49035_2012.09166666667",2012.09166666667,0.00814802
"49032_2012.08333333333",2012.08333333333,0.00814802
"49207_2011.91388888889",2011.91388888889,0.00814802
"49010_2011.91388888889",2011.91388888889,0.00577782
"49199_2011.89166666667",2011.89166666667,0.00693023
"49198_2011.89166666667",2011.89166666667,0.00814537
"49044_2012.12222222222",2012.12222222222,0.00814529
"49005_2011.86944444444",2011.86944444444,0.00929493
"48999_2011.81388888889",2011.81388888889,0.00930344635075081
"48979_2011.66388888889",2011.66388888889,0.00932288635075081
"49036_2012.09722222222",2012.09722222222,0.00462884635075081
"49015_2011.96388888889",2011.96388888889,0.00811102635075081
"49052_2012.15555555556",2012.15555555556,0.00929837635075081
"48990_2011.77777777778",2011.77777777778,0.0127847563507508
"49177_2011.78611111111",2011.78611111111,0.00922157
"49105_2012.30833333333",2012.30833333333,0.00693559
"49109_2012.31666666667",2012.31666666667,0.00693559
"48993_2011.79166666667",2011.79166666667,0.01273434
"49094_2012.28055555556",2012.28055555556,0.01158406
"49022_2012.01388888889",2012.01388888889,0.0104268
"48987_2011.775",2011.775,0.01042639
"48989_2011.77777777778",2011.77777777778,0.01042766
"49205_2011.91388888889",2011.91388888889,0.01042742
"49173_2011.76666666667",2011.76666666667,0.00688623
"49027_2012.04722222222",2012.04722222222,0.01273443
"49183_2011.81111111111",2011.81111111111,0.01042799
"49186_2011.81944444444",2011.81944444444,0.00926388
"49166_2011.74444444444",2011.74444444444,0.01273341
"49049_2012.14722222222",2012.14722222222,0.00575602
"48996_2011.80555555556",2011.80555555556,0.00096775
"49107_2012.31388888889",2012.31388888889,0.0046096
"49031_2012.07222222222",2012.07222222222,0.00460992
"48983_2011.73611111111",2011.73611111111,0.00575602
"49021_2012",2012,0.00575602
"48991_2011.79166666667",2011.79166666667,0.01273377
"49013_2011.95833333333",2011.95833333333,0.0115847
"49206_2011.91388888889",2011.91388888889,0.01040616
"49192_2011.85833333333",2011.85833333333,0.00810259
"49040_2012.1",2012.1,0.0068473
"49218_2011.92777777778",2011.92777777778,0.00925671
"49056_2012.16111111111",2012.16111111111,0.00809692
"49136_2012.49444444444",2012.49444444444,0.0069478
"49132_2012.43055555556",2012.43055555556,0.00693921
"49213_2011.925",2011.925,0.00464414
"49202_2011.90277777778",2011.90277777778,0.00577312
"49084_2012.24444444444",2012.24444444444,0.00462984
"49087_2012.25",2012.25,0.00693637
"49128_2012.4",2012.4,0.01388784
"49226_2011.97777777778",2011.97777777778,0.0044659
"49080_2012.23888888889",2012.23888888889,0.00806805
"49012_2011.93888888889",2011.93888888889,0.00806782
"49196_2011.87777777778",2011.87777777778,0.0104476
"49019_2011.99444444444",2011.99444444444,0.01042567
"49029_2012.05833333333",2012.05833333333,0.0115721
"49134_2012.46944444444",2012.46944444444,0.00924944
"49028_2012.05",2012.05,0.00926358
"49119_2012.35555555556",2012.35555555556,0.01041791
"49112_2012.33611111111",2012.33611111111,0.0104201
"49073_2012.21666666667",2012.21666666667,0.01158423
"49108_2012.31666666667",2012.31666666667,0.0127359
"49125_2012.38888888889",2012.38888888889,0.01158102
"49127_2012.39722222222",2012.39722222222,0.009278
"49141_2012.64444444444",2012.64444444444,0.009278
"49008_2011.90277777778",2011.90277777778,0.0057628
"49190_2011.84722222222",2011.84722222222,0.00694078
"49214_2011.925",2011.925,0.00810037
"49222_2011.95",2011.95,0.01041811
"49088_2012.25",2012.25,0
"49093_2012.27777777778",2012.27777777778,0.00231038
