"tr.tip.label","dates","tip_depth"
"KT286860_2010.25",2010.25,1.69558002
"KT286861_2010.08333333333",2010.08333333333,1.90845964
"KT286898_2010.91666666667",2010.91666666667,1.34776486
"KT286900_2010.08333333333",2010.08333333333,1.32797665
"KT286899_2010.08333333333",2010.08333333333,1.33074863
"KT286868_2010.08333333333",2010.08333333333,1.479991
"KT286867_2010.25",2010.25,1.33263581
"KT286933_2010.25",2010.25,1.2337526
"KT286885_2010.16666666667",2010.16666666667,1.20775269
"KT286886_2010.16666666667",2010.16666666667,1.20495573
"KT286870_2010.25",2010.25,0.78516297
"KT286869_2010.25",2010.25,0.39487328
"KT286871_2010.08333333333",2010.08333333333,0.76580384
"KT286864_2010.5",2010.5,0.83282613
"KT286865_2010.08333333333",2010.08333333333,0.83100274
"KT286866_2010.58333333333",2010.58333333333,0.8304018
"KT286925_2010.08333333333",2010.08333333333,0.74314285
"KT286924_2010.16666666667",2010.16666666667,0.73193038
"KT286923_2010.08333333333",2010.08333333333,0.72625832
"KT286922_2010.58333333333",2010.58333333333,0.72344104
"KT286926_2010.16666666667",2010.16666666667,0.27561378
"KT286927_2010.08333333333",2010.08333333333,0.29552904
"KT286918_2010.91666666667",2010.91666666667,0.0621305000000003
"KT286919_2010.25",2010.25,0
"KT286920_2010.25",2010.25,0.0403001900000004
"KT286921_2010.25",2010.25,0.0400784900000004
"KT286935_2010.66666666667",2010.66666666667,0.94714487
"KT286934_2010.66666666667",2010.66666666667,0.94404764
"KT286901_2010.91666666667",2010.91666666667,0.71951471
"KT286902_2010.91666666667",2010.91666666667,0.71026513
"KT286903_2010.91666666667",2010.91666666667,0.71654255
"KT286894_2010.25",2010.25,0.63362424
"KT286897_2010.08333333333",2010.08333333333,0.62797922
"KT286896_2010.08333333333",2010.08333333333,0.62797127
"KT286893_2010.16666666667",2010.16666666667,0.6099634
"KT286895_2010.16666666667",2010.16666666667,0.62795083
"KT286882_2010",2010,0.22165411
"KT286881_2010.08333333333",2010.08333333333,0.21606096
"KT286878_2010.16666666667",2010.16666666667,0.47278325
"KT286879_2010.08333333333",2010.08333333333,0.43605846
"KT286880_2010",2010,0.44411967
"KT286915_2010.58333333333",2010.58333333333,0.29788843
"KT286917_2010",2010,0.1336193
"KT286916_2010.16666666667",2010.16666666667,0.10621626
"KT286872_2010.83333333333",2010.83333333333,0.27168498
"KT286858_2010.41666666667",2010.41666666667,0.20426897
"KT286873_2010.08333333333",2010.08333333333,0.27769671
"KT286883_2010.75",2010.75,0.45967531
"KT286884_2010.58333333333",2010.58333333333,0.45686206
"KT286874_2010.16666666667",2010.16666666667,0.14539381
"KT286875_2010.58333333333",2010.58333333333,0.10783141
"KT286928_2010.66666666667",2010.66666666667,0.0275442600000004
"KT286932_2010.83333333333",2010.83333333333,0.0952497999999999
"KT286931_2010.08333333333",2010.08333333333,0.0936237500000003
"KT286929_2010.25",2010.25,0.17256839
"KT286930_2010.08333333333",2010.08333333333,0.23846579
"KT286876_2010.25",2010.25,0.49611271
"KT286877_2010.08333333333",2010.08333333333,0.4249302
"KT286905_2010.08333333333",2010.08333333333,0.48637976
"KT286907_2010",2010,0.47675514
"KT286906_2010.08333333333",2010.08333333333,0.47999472
"KT286904_2010",2010,0.47034252
"KT286908_2010.08333333333",2010.08333333333,0.40410981
"KT286912_2010.16666666667",2010.16666666667,0.39437558
"KT286913_2010.16666666667",2010.16666666667,0.39744483
"KT286909_2010.08333333333",2010.08333333333,0.39437543
"KT286910_2010.25",2010.25,0.39109387
"KT286911_2010.16666666667",2010.16666666667,0.39437548
"KT286859_2010.91666666667",2010.91666666667,0.24334131
"KT286890_2010.83333333333",2010.83333333333,0.7023118
"KT286887_2010.25",2010.25,0.68728177
"KT286889_2010.58333333333",2010.58333333333,0.6994058
"KT286892_2010.25",2010.25,0.69061305
"KT286891_2010.25",2010.25,0.69034944
"KT286888_2010.16666666667",2010.16666666667,0.69940634
"KT286914_2010.91666666667",2010.91666666667,0.81060663
"KT286936_2010.91666666667",2010.91666666667,0.65212147
"KT286938_2010.58333333333",2010.58333333333,0.65339852
"KT286940_2010.33333333333",2010.33333333333,0.65644227
"KT286937_2010.33333333333",2010.33333333333,0.65644221
"KT286939_2010.5",2010.5,0.65339927
"KT286941_2010.25",2010.25,0.633977449999999
"KT286942_2010.33333333333",2010.33333333333,0.62933095
"KT286863_2010.58333333333",2010.58333333333,2.59248044
"KT286862_2010.16666666667",2010.16666666667,2.58377103
