"tr.tip.label","dates","tip_depth"
"KT725331_2014.64166666667",2014.64166666667,0.00045979
"KT725289_2014.66666666667",2014.66666666667,0.00046102
"KT725352_2014.7",2014.7,0.00031224
"KT725254_2014.85833333333",2014.85833333333,0.00046272
"KT725285_2014.79166666667",2014.79166666667,0.00046371
"KT725322_2014.54722222222",2014.54722222222,0.00061305
"KT725361_2014.75",2014.75,0.0004641
"KR006944_2014.84722222222",2014.84722222222,0.00046405
"KT725286_2014.64166666667",2014.64166666667,0.00061296
"KT725283_2014.65277777778",2014.65277777778,0.00061303
"KT725378_2014.625",2014.625,0.00061303
"KT725324_2014.55",2014.55,0.00061453
"KT725341_2014.65277777778",2014.65277777778,0.00061462
"KT725388_2014.50833333333",2014.50833333333,0.0006146
"KT725336_2014.48333333333",2014.48333333333,0.00061459
"KT725345_2014.75",2014.75,0.00031499
"KT725327_2014.86666666667",2014.86666666667,0.00046439
"KR817123_2014.60277777778",2014.60277777778,0.000585820152476649
"KT725328_2014.89166666667",2014.89166666667,0.000585820152476649
"KR006952_2014.89166666667",2014.89166666667,0.000585820152476649
"KT725340_2014.72777777778",2014.72777777778,0.000287500152476649
"KR817127_2014.62777777778",2014.62777777778,0.000138470152476649
"KR817128_2014.62777777778",2014.62777777778,0.000287500152476649
"KT725376_2014.72777777778",2014.72777777778,0.000287500152476649
"KT725299_2014.60833333333",2014.60833333333,0.000734760152476649
"KT725382_2014.64722222222",2014.64722222222,0.000734640152476649
"KT725314_2014.59166666667",2014.59166666667,0.000733500152476649
"KT725318_2014.7",2014.7,0.000585450152476649
"KR006956_2014.94166666667",2014.94166666667,0.000585400152476649
"KT725259_2014.62222222222",2014.62222222222,0.000733810152476649
"KT725302_2014.73611111111",2014.73611111111,0.000435990152476649
"KT725279_2014.86944444444",2014.86944444444,0.000137640152476649
"KT725387_2014.63611111111",2014.63611111111,0.000734720152476649
"KT725287_2014.78611111111",2014.78611111111,0.000734730152476649
"KT725385_2014.68888888889",2014.68888888889,0.000734730152476649
"KT725295_2014.71944444444",2014.71944444444,0.000733700152476649
"KT725338_2014.63611111111",2014.63611111111,0.000586030152476649
"KR817112_2014.55833333333",2014.55833333333,0.00076344
"KT725357_2014.72777777778",2014.72777777778,0.00076323
"KT725300_2014.65277777778",2014.65277777778,0.00076318
"KR817234_2014.46944444444",2014.46944444444,0.00076284
"KT725392_2014.63333333333",2014.63333333333,0.00076217
"KR817243_2014.53055555556",2014.53055555556,0.00076127
"KR006945_2014.85277777778",2014.85277777778,0.00031158
"KT725364_2014.64722222222",2014.64722222222,0.00046195
"KT725272_2014.64166666667",2014.64166666667,0.00046108
"KT725360_2014.47777777778",2014.47777777778,0.00060887
"KT725320_2014.48055555556",2014.48055555556,0.00060699
"KT725311_2014.60833333333",2014.60833333333,0.00075558
"KT725356_2014.65555555556",2014.65555555556,0.00060668
"KT725275_2014.52777777778",2014.52777777778,0.00075556
"KT725347_2014.65277777778",2014.65277777778,0.00060667
"KP178538_2014.58888888889",2014.58888888889,0.00075555
"KR817109_2014.55833333333",2014.55833333333,0.00045717
"KU042955_2014.92222222222",2014.92222222222,0.00043327
"KT725377_2014.62777777778",2014.62777777778,0.00075506
"KT725276_2014.72777777778",2014.72777777778,0.00075308
"KT725269_2014.75277777778",2014.75277777778,0.00045509
"KT725373_2014.71666666667",2014.71666666667,0.0006033
"KT725278_2014.625",2014.625,0.0006033
"KT725393_2014.86666666667",2014.86666666667,0.00045416
"KT725282_2014.70833333333",2014.70833333333,0.00045416
"KT725297_2014.65277777778",2014.65277777778,0.00061451
"KT725309_2014.65277777778",2014.65277777778,0.00061451
"KT725351_2014.71666666667",2014.71666666667,0.00046541
"KR817231_2014.46944444444",2014.46944444444,0.00031808
"KR817233_2014.46944444444",2014.46944444444,0.00046558
"KT725290_2014.90833333333",2014.90833333333,0.00061453
"KR817115_2014.56666666667",2014.56666666667,0.00076342
"KR817108_2014.55833333333",2014.55833333333,0.00076342
"KR817125_2014.61944444444",2014.61944444444,0.00061451
"KT725293_2014.63333333333",2014.63333333333,0.00076341
"KT725369_2014.65277777778",2014.65277777778,0.00076341
"KR817111_2014.55833333333",2014.55833333333,0.00076358
"KT725346_2014.65277777778",2014.65277777778,0.00061413
"KT725381_2014.65277777778",2014.65277777778,0.00061448
"KT725349_2014.65277777778",2014.65277777778,0.0004656
"KT725257_2014.625",2014.625,0.00061456
"KT725298_2014.72222222222",2014.72222222222,0.00061446
"KT725315_2014.625",2014.625,0.0006145
"KT725274_2014.85",2014.85,0.0006145
"KT725371_2014.71666666667",2014.71666666667,0.00061465
"KT725260_2014.68333333333",2014.68333333333,0.00061465
"KT725258_2014.75",2014.75,0.00061464
"KT725325_2014.71944444444",2014.71944444444,0.00061465
"KR006964_2014.72777777778",2014.72777777778,0.00061465
"KT725367_2014.63611111111",2014.63611111111,0.00061467
"KT725368_2014.75",2014.75,0.00046557
"KT725353_2014.71944444444",2014.71944444444,0.00061461
"KT725337_2014.63611111111",2014.63611111111,0.00061461
"KT725391_2014.77777777778",2014.77777777778,0.00076354
"KT725363_2014.62777777778",2014.62777777778,0.00061466
"KT725386_2014.62222222222",2014.62222222222,0.00061459
"KT725380_2014.62777777778",2014.62777777778,0.00061445
"KT725335_2014.63055555556",2014.63055555556,0.00046532
"KT725383_2014.62777777778",2014.62777777778,0.00046533
"KT725354_2014.73611111111",2014.73611111111,0.00046532
"KT725379_2014.71944444444",2014.71944444444,0.00046532
"KT725330_2014.85833333333",2014.85833333333,0.00016087
"KU042954_2014.99722222222",2014.99722222222,0
