"tr.tip.label","dates","tip_depth"
"KT276267_2014.40833333333",2014.40833333333,0.00455091000000001
"KT200349_2008.41666666667",2008.41666666667,0.0184505
"KT276256_2014.26944444444",2014.26944444444,0.00462839000000001
"FJ853622_2008.67222222222",2008.67222222222,0.01904186
"EU786677_2006.91666666667",2006.91666666667,0.01876552
"GQ372990_2008.84444444444",2008.84444444444,0.01369387
"EU786675_2006.10555555556",2006.10555555556,0.03607554
"GU362881_2009.06111111111",2009.06111111111,0.01487095
"KT200353_2010.25",2010.25,0.01072781
"FJ670531_2008.67222222222",2008.67222222222,0.02352764
"EU786672_2005.86111111111",2005.86111111111,0.0312913
"EU786676_2006.30555555556",2006.30555555556,0.02764965
"KT200351_2005.5",2005.5,0.01730336
"EU786679_2007.41388888889",2007.41388888889,0.01998212
"KT200354_2008.91666666667",2008.91666666667,0.01219778
"FJ694790_2007",2007,0.01758763
"KC473842_2010",2010,0.00978453000000001
"GQ372988_2008.69722222222",2008.69722222222,0.01403736
"KT200357_2010.33333333333",2010.33333333333,0.00672402
"GU362883_2008.84166666667",2008.84166666667,0.01065403
"KT276262_2014.35277777778",2014.35277777778,0.00960752000000001
"KT200355_2010.16666666667",2010.16666666667,0.01614138
"KT200356_2010",2010,0.02160294
"FJ853620_2008.69444444444",2008.69444444444,0.01036382
"EU786680_2007.49166666667",2007.49166666667,0.00942582
"FJ670524_2008.26944444444",2008.26944444444,0.00828237000000001
"KT200350_2006",2006,0.0037761
"GQ386792_2007",2007,0.03481727
"HM469975_2009",2009,0.03440484
"GQ386793_2007",2007,0.03481734
"HM469982_2009",2009,0.03445938
"GQ386790_2007",2007,0.03404857
"HM469983_2009",2009,0.03363787
"GQ386791_2007",2007,0.03404862
"GQ386789_2007",2007,0.03445938
"GQ386788_2007",2007,0.03445938
"HM469973_2009",2009,0.03529733
"GQ386778_2007",2007,0.03529733
"HM469974_2009",2009,0.03529733
"GQ386774_2007",2007,0.03529733
"HM469972_2009",2009,0.03529733
"GQ386777_2007",2007,0.03529733
"GQ386775_2007",2007,0.03529733
"GQ386776_2007",2007,0.03529733
"GQ386794_2007",2007,0.03065013
"GQ386795_2007",2007,0.03064974
"HM469979_2009",2009,0.02982382
"HM469977_2009",2009,0.02764926
"GQ386783_2007",2007,0.02764709
"GQ386782_2007",2007,0.02930872
"GQ386781_2007",2007,0.02806425
"GQ386779_2007",2007,0.02847996
"GQ386780_2007",2007,0.02848111
"HM469978_2009",2009,0.02641054
"HM469976_2009",2009,0.02755064
"HM469981_2009",2009,0.03232125
"GQ386785_2007",2007,0.03232125
"GQ386786_2007",2007,0.03232125
"GQ386787_2007",2007,0.03232125
"GQ386784_2007",2007,0.03232125
"HM469980_2009",2009,0.03232125
"KT200348_2013",2013,0.02897291
"EU786678_2007.15833333333",2007.15833333333,0.01257537
"KT200352_2010",2010,0.01421071
"KT276266_2014.40833333333",2014.40833333333,0.00385879
"KC112996_2009",2009,0.0195845
"KC113005_2010",2010,0.01610539
"KC473843_2010",2010,0.01529311
"EU786674_2006.10555555556",2006.10555555556,0.02538978
"GU362886_2008.90277777778",2008.90277777778,0.00303049999999999
"KT276264_2014.39166666667",2014.39166666667,0.01464019
"GU362885_2009.40555555556",2009.40555555556,0.01387655
"KT276255_2014.25833333333",2014.25833333333,0.0127023929548327
"FJ670525_2008.31388888889",2008.31388888889,0.0197161129548327
"KT200358_2008.75",2008.75,0.02613438
"KT276268_2014.40833333333",2014.40833333333,0.0200326
"KT276263_2014.39166666667",2014.39166666667,0
"KC112998_2011",2011,0.00923443
"KC473841_2009",2009,0.00799411
