"rerooted_tree.tip.label","dates","tip_heights"
"AB597980.1_2009",2009,0.0603512388911285
"AB550423.1_2009",2009,0.0610279988911285
"JF967809.1_2008",2008,0.0623874088911285
"JQ277838.1_2002",2002,0.0562619288911285
"JQ277839.1_2002",2002,0.0562604488911285
"JQ277845.1_2004",2004,0.0541546788911285
"JF967793.1_2008",2008,0.0583748588911285
"JF967854.1_2009",2009,0.0597106588911285
"JF967867.1_2009",2009,0.0534798788911285
"JN029816_2010",2010,0.0495098088911285
"JF967865.1_2009",2009,0.0583959988911285
"JN029810_2010",2010,0.0576006588911285
"JQ277876.1_2007",2007,0.0555437288911285
"JQ277875.1_2007",2007,0.0548620988911285
"JX088742.1_2011",2011,0.0753609588911285
"JN029812_2010",2010,0.0334364711088715
"JF967805.1_2008",2008,0.0553528411088715
"JF967843.1_2008",2008,0.0512706111088715
"JQ277854.1_2006",2006,0.0513095011088715
"JQ277850.1_2006",2006,0.0512883011088715
"JN029808_2010",2010,0.0555295711088715
"JF967861.1_2009",2009,0.0626222611088715
"JF967795.1_2008",2008,0.0633636011088715
"JF967799.1_2008",2008,0.0640549911088715
"JN415496_2007",2007,0.0568942811088715
"JF967924_2010",2010,0.0616854811088715
"AB873104_2013",2013,0.0666541411088715
"JX088743.1_2011",2011,0.0582753411088715
"JF967858.1_2009",2009,0.0575837711088715
"JF967808.1_2008",2008,0.0582694111088715
"JF967808_2008",2008,0.0582694211088715
"JX569841.1_2009",2009,0.0590060011088715
"JF967842.1_2008",2008,0.0590156211088715
"JF967856.1_2009",2009,0.0590102411088715
"JF967869.1_2009",2009,0.0576391011088715
"JF967836.1_2008",2008,0.0583279211088715
"JF967816.1_2008",2008,0.0576412711088715
"JF967863.1_2009",2009,0.0604002611088715
"JF967860.1_2009",2009,0.0617705611088715
"JF967817.1_2008",2008,0.0597040211088715
"JF967852.1_2009",2009,0.0603862211088715
"JX569839.1_2009",2009,0.0673657411088715
"JF967835.1_2008",2008,0.0610632511088715
"JF967806.1_2008",2008,0.0603786411088715
"JF967837.1_2008",2008,0.0603785411088715
"JF967800.1_2008",2008,0.0596964811088715
"JX446305.1_2009",2009,0.0603811811088715
"JX446299.1_2009",2009,0.0631273611088715
"JF967853.1_2009",2009,0.0583239511088715
"JX446301.1_2009",2009,0.0610514111088715
"KJ806819_2012",2012,0.0617577311088715
"JX569843.1_2009",2009,0.0638524611088715
"JX446306.1_2009",2009,0.0597025111088715
"JX569846.1_2009",2009,0.0583388811088715
"JF967841.1_2008",2008,0.0603774311088715
"JF967812.1_2008",2008,0.0547620711088715
"JF967862.1_2009",2009,0.0527403511088715
"JN029818_2010",2010,0.0717098411088715
"JN029817_2010",2010,0.0723046211088715
"JF967849.1_2008",2008,0.0699642611088715
"JF967815.1_2008",2008,0.0699038211088715
"JF967844.1_2008",2008,0.0719506111088715
"JX569842.1_2009",2009,0.0598310611088715
"JF967802.1_2008",2008,0.0629461411088715
"JF967859.1_2009",2009,0.0624580311088715
"JF967828.1_2008",2008,0.0597095011088715
"JF967822.1_2008",2008,0.0575616211088715
"JF967801.1_2008",2008,0.0547727711088715
"JF967919_2010",2010,0.0596003811088715
"JF967819.1_2008",2008,0.0554372611088715
"JF967811.1_2008",2008,0.0554418111088715
"AB624553.1_2010",2010,0.0589022911088715
"KJ806820_2012",2012,0.0575400411088715
"JF967803.1_2008",2008,0.0554664011088715
"JF967826.1_2008",2008,0.0595995111088715
"AB597967.1_2010",2010,0.0595719511088715
"AB597966.1_2010",2010,0.0602550111088715
"JF967839.1_2008",2008,0.0581738311088715
"JF967796.1_2008",2008,0.0574904711088715
"KJ806817_2012",2012,0.0608940511088715
"KJ806821_2013",2013,0.0595384411088715
"JN029814_2010",2010,0.0595390111088715
"JN029807_2010",2010,0.0602234811088715
"JF967847.1_2008",2008,0.0595205111088715
"JF967821.1_2008",2008,0.0595197411088715
"JF967807.1_2008",2008,0.0582067611088715
"JF967857.1_2009",2009,0.0595994211088715
"JF967866.1_2009",2009,0.0602826111088715
"JF967868.1_2009",2009,0.0595378611088715
"JF967825.1_2008",2008,0.0609169911088715
"JF967855.1_2009",2009,0.0602343011088715
"JF967798.1_2008",2008,0.0581973611088715
"JF967838.1_2008",2008,0.0589230211088715
"JF967820.1_2008",2008,0.0568297711088715
"JF967818.1_2008",2008,0.0582166611088715
"JN029815_2010",2010,0.0522612911088715
"AB550425.1_2009",2009,0.0610289188911285
"AB550429.1_2009",2009,0.0624076988911285
"AB550421.1_2009",2009,0.0610327088911285
